prot0,prot1,correlation
Q86Y22,Q8N257,0.962108681337055
O95810,Q5U651,0.9528942827335534
O95810,Q96MM6,0.9610596632343438
O95810,Q96AP7,0.9525477184207359
O00159,P50895,0.9638193953469787
O00159,Q96MM6,0.9616745063021965
O00159,Q02763,0.9553146410956334
O00159,P16284,0.962219366177106
O00159,Q9H8L6,0.9549252362608657
O00159,Q96AP7,0.9522370072092797
O00159,Q14642,0.9502645981390483
O00159,P33151,0.9500064817607522
O00159,Q03135,0.9654941161763858
O00159,Q6NZI2,0.9502890972652815
O00159,P51636,0.9618560212269631
Q08495,P02549,0.9782704703889018
Q08495,Q13336,0.9583821096648641
P01857,P01768,0.9593069186088177
P01857,P01781,0.9590393738465878
P01857,P06331,0.9516190019634712
P43121,P55268,0.9582094391161361
P43121,Q8IVN8,0.9567877522745896
P57087,Q96MM6,0.9551425472724375
P02768,P43652,0.9512944269983343
P11277,Q13336,0.9719932172754242
P0CAP1,Q9NPY3,0.9652387576883226
P0CAP1,P32241,0.9579700748543205
Q5U651,O95810,0.9528942827335534
P50895,O00159,0.9638193953469787
P50895,P16284,0.9505983228096186
P50895,Q9H8L6,0.9588868437986658
P50895,Q03135,0.9577689933327286
Q86T13,Q96AP7,0.9536486827719405
Q9NRN5,Q6UWY5,0.9735453550711725
P16157,Q13336,0.9698397870730363
Q9BXM0,Q16602,0.954537751223855
Q9BXM0,P32241,0.9623043632058587
P02549,Q08495,0.9782704703889018
P02549,Q13336,0.9686663096085063
P68871,P00915,0.9501009612592283
Q9Y2D5,P35241,0.9501987532251084
Q32M88,Q2NKX8,0.9864815981873565
P55268,P43121,0.9582094391161361
Q96MM6,O95810,0.9610596632343438
Q96MM6,O00159,0.9616745063021965
Q96MM6,P57087,0.9551425472724375
Q96MM6,Q9NPY3,0.9553324073390729
Q96MM6,P61952,0.9540599507904116
Q96MM6,Q16602,0.960647713046461
Q96MM6,Q02763,0.96192506406837
Q96MM6,P16284,0.9619469951801598
Q96MM6,Q92959,0.9621019324937912
Q96MM6,Q96AP7,0.9619701052949406
Q96MM6,P33151,0.9668943834883996
Q96MM6,Q03135,0.9540677657826113
Q02094,Q9NZA1,0.9587040211367321
Q02094,Q8WWA0,0.9647239082569625
Q02094,P16452,0.9587193370426724
Q02094,Q15109,0.9775142648426192
Q9NPY3,P0CAP1,0.9652387576883226
Q9NPY3,Q96MM6,0.9553324073390729
Q9NPY3,Q02763,0.9708707405572808
Q9NPY3,O95490,0.951781220440859
P02753,P01042,0.9539969967640812
P61952,Q96MM6,0.9540599507904116
P61952,P16284,0.961422921885203
P61952,Q96AP7,0.962934473641312
P61952,P22748,0.9584299375007629
P61952,P33151,0.9553816465288842
P61952,Q03135,0.9619883848323263
Q16602,Q9BXM0,0.954537751223855
Q16602,Q96MM6,0.960647713046461
Q16602,Q92959,0.9671137600307846
P35241,Q9Y2D5,0.9501987532251084
P35241,Q9HCM4,0.9503393165347032
Q02763,O00159,0.9553146410956334
Q02763,Q96MM6,0.96192506406837
Q02763,Q9NPY3,0.9708707405572808
Q02763,O95490,0.9515950445116943
P16284,O00159,0.962219366177106
P16284,P50895,0.9505983228096186
P16284,Q96MM6,0.9619469951801598
P16284,P61952,0.961422921885203
P16284,Q9H8L6,0.9676213380953431
